REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,VALUE,SUBPARTS
2015,#540 BONANZA CREEK ENERGY - DENVER BASIN,1000355,"410 17th Street, Suite 1500",39.74431,-104.98858,Denver,DENVER COUNTY,CO,80202,BONANZA CREEK ENERGY INC (100%),182617,W
2015,121 REGIONAL DISPOSAL FACILITY,1004377,3820 SAM RAYBURN HIGHWAY,33.29857,-96.53586,MELISSA,COLLIN COUNTY,TX,75454,NORTH TEXAS MUNICIPAL WATER DISTRICT (100%),199012,HH
2015,15-18565/15-18662,1010040,4200 S. Hwy 15,37.219099,-83.156046,Hazard,PERRY COUNTY,KY,40701,CAMBRIAN COAL LLC (100%),118205,FF
2015,15-19015,1010085,1845 S. KY HWY 15,37.236617,-83.18126,Hazard,PERRY,KY,41701,CAMBRIAN COAL LLC (100%),55873,FF
2015,220 Gulf Coast,1009263,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),1978,W
2015,220 Gulf Coast Basin DEC,1009238,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),162714,W
2015,230 Arkla Basin QEP Energy Company,1009283,1050 17th Street Unit 800,39.7480769,-104.994564,Denver,,CO,80265,QEP RESOURCES INC (100%),126639,W
2015,23rd and 3rd,1000112,730 3rd Avenue,40.663,-74,BROOKLYN,Kings,NY,11232,NEW YORK POWER AUTHORITY (100%),31,"C,D"
2015,260 East Texas Basin - BP America Production Company,1009170,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),25139,W
2015,29-6 #2 Central Delivery Point,1006394,,36.7452,-107.4455,Blanco,Rio Arriba,NM,87412,"WILLIAMS PARTNERS, LP (100%)",7,C
2015,30-5 Central Delivery Point Compressor Station,1002885,,36.8118,-107.4036,Aztec,Rio Arriba,NM,87410,"WILLIAMS PARTNERS, LP (100%)",11,C
2015,31-6 Central Delivery Point,1002707,,36.8363,-107.4199,BLOOMFIELD,Rio Arriba,NM,87413,"WILLIAMS PARTNERS, LP (100%)",25,C
2015,31st Street Landfill,1003742,11700 W 31ST ST,41.835129,-87.915924,WESTCHESTER,COOK COUNTY,IL,60154,ARCHDIOCESE OF CHICAGO (100%),92510,"C,HH"
2015,32-7 Central Delivery Point,1002718,,36.9313,-107.5604,BLANCO,SAN JUAN,NM,87412,"WILLIAMS PARTNERS, LP (100%)",16,C
2015,32-8 #2 CDP COMPRESSOR STATION,1002721,,36.9569,-107.6631,BLANCO,SAN JUAN,NM,87412,"WILLIAMS PARTNERS, LP (100%)",19,C
2015,345 Arkoma Basin - BP America Production Company,1009169,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),199110,W
2015,345 Arkoma Bravo NR,1011963,"1323 East 71st Street, Suite 400",36.062167,-95.974333,Tulsa,,OK,74136,"Bravo Natural Resources, LLC (100%)",104973,W
2015,350 South Oklahoma Folded Belt,1009119,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),9231,W
2015,355 Chatauque Platform,1009264,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),24857,W
2015,355 Chautauqua Platform DEC,1008286,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),11130,W
2015,360 Anadarko Basin,1009265,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),147998,W
2015,360 Anadarko Basin - BP America Production Company,1008558,501 Westlake Park Blvd,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),321731,W
2015,360 Anadarko Basin DEC,1008287,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),207966,W
2015,360 Anadarko Basin QEP Energy Company,1009285,"6100 South Yale, Suite 900",36.072617,-95.923102,Tulsa,,OK,74136,QEP RESOURCES INC (100%),4255,W
2015,395 Williston Basin QEP Energy Company,1009281,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,DENVER COUNTY,CO,80265,QEP RESOURCES INC (100%),27240,W
2015,3M BROWNWOOD,1003188,4501 HIGHWAY 377 SOUTH,31.671177,-98.996513,BROWNWOOD,BROWN,TX,76801,3M CO (100%),17,"C,N"
2015,3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO (100%),39,C
2015,3M CO - GUIN,1003739,6675 US HIGHWAY 43,33.96548,-87.89936,GUIN,MARION COUNTY,AL,35563,3M CO (100%),14,"C,N"
2015,3M CO - WAUSAU DOWNTOWN,1007698,144 ROSECRANS ST,44.95018,-89.63766,WAUSAU,MARATHON,WI,54401,3M CO (100%),11,C
2015,3M COMPANY,1004206,1400 STATE DOCKS RD.,34.641667,-87.038611,DECATUR,MORGAN,AL,35609,3M CO (100%),21,"C,L,OO"
2015,3M CORDOVA,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND,IL,61242,3M CO (100%),14,"C,L,OO"
2015,3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),18,"C,L,N,OO"
2015,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,1003408,3110 WALTERS DRIVE,34.708919,-92.239492,LITTLE ROCK,PULASKI COUNTY,AR,72216,3M CO (100%),12,C
2015,3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),17,C
2015,3M NEVADA PLANT,1004804,2120 E. AUSTIN,37.834476,-94.330625,NEVADA,VERNON COUNTY,MO,64772,3M CO (100%),15,C
2015,4 West Mine,1007408,625 Bald Hill Church Road,39.75537,-80.003499,Dilliner,GREENE,PA,15327,MEPCO INTERMEDIATE HOLDINGS LLC (100%),133882,FF
2015,415 Strawn Basin DEC,1009276,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),127066,W
2015,420 Fort Worth Syncline DEC,1008289,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),368055,W
2015,430 Permian Basin DEC,1008290,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),244622,W
2015,430 Permian Basin QEP Energy Company,1009691,1050 17th Street Unit 800,29.75608,-95.36433,Denver,HARRIS COUNTY,CO,80265,QEP RESOURCES INC (100%),15107,W
