state,value
AL,4787219
AK,785825
AZ,5381050
AR,2417959
CA,28074977
CO,4683410
CT,2855538
DE,947442
FL,15131735
GA,7780346
HI,1334692
ID,1692457
IL,10193438
IN,5574026
IA,3540763
KS,2627845
KY,4031748
LA,3957174
ME,1199134
MD,3833526
MA,4985448
MI,8192368
MN,5219490
MS,2073535
MO,5820656
MT,1539931
NE,1891253
NV,2203096
NH,1408936
NJ,7061343
NM,1882466
NY,10674135
NC,7813854
ND,845109
OH,10360365
OK,3460012
OR,3603825
PA,10461108
RI,853152
SC,3986574
SD,1015173
TN,5451933
TX,20171135
UT,2060512
VT,611789
VA,7051016
WA,6392840
WV,1453395
WI,5338759
WY,830539
,830539
